EstacaoCodigo;NivelConsistencia;Data;TipoMedicaoChuvas;Maxima;Total;DiaMaxima;NumDiasDeChuva;MaximaStatus;TotalStatus;NumDiasDeChuvaStatus;TotalAnual;TotalAnualStatus;Chuva01;Chuva02;Chuva03;Chuva04;Chuva05;Chuva06;Chuva07;Chuva08;Chuva09;Chuva10;Chuva11;Chuva12;Chuva13;Chuva14;Chuva15;Chuva16;Chuva17;Chuva18;Chuva19;Chuva20;Chuva21;Chuva22;Chuva23;Chuva24;Chuva25;Chuva26;Chuva27;Chuva28;Chuva29;Chuva30;Chuva31;Chuva01Status;Chuva02Status;Chuva03Status;Chuva04Status;Chuva05Status;Chuva06Status;Chuva07Status;Chuva08Status;Chuva09Status;Chuva10Status;Chuva11Status;Chuva12Status;Chuva13Status;Chuva14Status;Chuva15Status;Chuva16Status;Chuva17Status;Chuva18Status;Chuva19Status;Chuva20Status;Chuva21Status;Chuva22Status;Chuva23Status;Chuva24Status;Chuva25Status;Chuva26Status;Chuva27Status;Chuva28Status;Chuva29Status;Chuva30Status;Chuva31Status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2247057;1;01/12/1980;1;39,6;273,2;6;19;1;1;0;1486;1;16,8;30,4;3,2;33,4;11,2;39,6;4,6;0,0;0,0;12,8;0,0;8,6;18,8;23,8;1,0;0,0;0,0;0,0;0,0;0,0;2,6;24,4;0,2;0,0;0,0;0,0;29,2;3,8;4,0;4,8;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/11/1980;1;44,8;128,4;30;8;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;19,6;5,6;35,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;6,6;0,0;0,0;0,0;8,2;7,4;0,0;0,0;0,0;1,0;44,8;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/10/1980;1;31,2;60,2;27;3;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,8;0,0;0,0;0,0;26,2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;31,2;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/09/1980;1;34,2;55,4;21;6;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1,6;11,2;1,0;0,0;34,2;4,4;0,0;0,0;0,0;0,0;0,0;3,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/08/1980;1;12,8;38,6;16;6;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;4,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;12,8;0,0;0,6;0,0;0,0;0,0;0,0;8,2;0,0;0,0;3,8;8,8;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/07/1980;1;0,3;0,3;31;1;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/06/1980;1;47,4;87,0;26;4;1;1;0;1486;1;0,0;0,0;6,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,4;0,0;0,0;0,0;47,4;27,8;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/05/1980;1;9,0;22,5;3;5;1;1;0;1486;1;0,0;4,9;9,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5,4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;2,9;0,3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/04/1980;1;59,2;172,6;5;9;1;1;0;1486;1;0,0;0,0;14,6;18,2;59,2;0,6;0,0;0,0;0,0;0,0;0,0;10,8;33,0;0,8;34,4;1,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;,,
2247057;1;01/03/1980;1;47,6;139,8;11;6;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;38,6;0,0;47,6;0,0;0,0;21,6;0,0;16,8;0,0;8,2;7,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/02/1980;1;35,2;127,1;8;9;1;1;0;1486;1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;35,2;0,0;0,0;0,0;0,0;0,0;0,0;25,1;0,0;0,0;32,4;0,0;0,2;0,0;0,0;0,0;5,4;0,0;13,8;11,4;0,2;3,4;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;,,,
2247057;1;01/01/1980;1;63,2;380,9;1;14;1;1;0;1486;1;63,2;0,0;0,0;0,0;0,0;0,0;0,0;25,8;0,0;49,2;23,8;0,9;0,0;0,0;0,0;0,0;0,0;18,2;16,4;0,0;60,4;13,4;0,4;0,0;21,8;56,6;4,6;26,2;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;,
2247057;1;01/12/1979;1;57,6;238,8;6;15;1;1;0;1402,40002441406;1;0,0;0,0;13,2;3,8;0,0;57,6;2,4;0,0;0,0;0,0;1,2;35,8;11,0;9,6;26,0;36,0;12,8;0,0;0,0;0,0;0,0;0,0;0,0;0,4;9,2;13,4;6,4;0,0;0,0;0,0;0,0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
