Data,Hora (UTC),Temp. Ins. (C),Temp. Max. (C),Temp. Min. (C),Umi. Ins. (%),Umi. Max. (%),Umi. Min. (%),Pto Orvalho Ins. (C),Pto Orvalho Max. (C),Pto Orvalho Min. (C),Pressao Ins. (hPa),Pressao Max. (hPa),Pressao Min. (hPa),Vel. Vento (m/s),Dir. Vento (m/s),Raj. Vento (m/s),Radiacao (KJ/m²),Chuva (mm)
1/1/2022,0,,,,,,,,,,,,,,,,,
1/1/2022,100,,,,,,,,,,,,,,,,,
1/1/2022,200,,,,,,,,,,,,,,,,,
1/1/2022,300,,,,,,,,,,,,,,,,,
1/1/2022,400,,,,,,,,,,,,,,,,,
1/1/2022,500,,,,,,,,,,,,,,,,,
1/1/2022,600,,,,,,,,,,,,,,,,,
1/1/2022,700,,,,,,,,,,,,,,,,,
1/1/2022,800,,,,,,,,,,,,,,,,,
1/1/2022,900,,,,,,,,,,,,,,,,,
1/1/2022,1000,,,,,,,,,,,,,,,,,
1/1/2022,1100,,,,,,,,,,,,,,,,,
1/1/2022,1200,,,,,,,,,,,,,,,,,
1/1/2022,1300,,,,,,,,,,,,,,,,,
1/1/2022,1400,,,,,,,,,,,,,,,,,
1/1/2022,1500,,,,,,,,,,,,,,,,,
1/1/2022,1600,,,,,,,,,,,,,,,,,
1/1/2022,1700,,,,,,,,,,,,,,,,,
1/1/2022,1800,,,,,,,,,,,,,,,,,
1/1/2022,1900,,,,,,,,,,,,,,,,,
1/1/2022,2000,,,,,,,,,,,,,,,,,
1/1/2022,2100,,,,,,,,,,,,,,,,,
1/1/2022,2200,,,,,,,,,,,,,,,,,
1/1/2022,2300,,,,,,,,,,,,,,,,,
2/1/2022,0,,,,,,,,,,,,,,,,,
2/1/2022,100,,,,,,,,,,,,,,,,,
2/1/2022,200,,,,,,,,,,,,,,,,,
2/1/2022,300,,,,,,,,,,,,,,,,,
2/1/2022,400,,,,,,,,,,,,,,,,,
2/1/2022,500,,,,,,,,,,,,,,,,,
2/1/2022,600,,,,,,,,,,,,,,,,,
2/1/2022,700,,,,,,,,,,,,,,,,,
2/1/2022,800,,,,,,,,,,,,,,,,,
2/1/2022,900,,,,,,,,,,,,,,,,,
2/1/2022,1000,,,,,,,,,,,,,,,,,
2/1/2022,1100,,,,,,,,,,,,,,,,,
2/1/2022,1200,,,,,,,,,,,,,,,,,
2/1/2022,1300,,,,,,,,,,,,,,,,,
2/1/2022,1400,,,,,,,,,,,,,,,,,
2/1/2022,1500,,,,,,,,,,,,,,,,,
2/1/2022,1600,,,,,,,,,,,,,,,,,
2/1/2022,1700,,,,,,,,,,,,,,,,,
2/1/2022,1800,,,,,,,,,,,,,,,,,
2/1/2022,1900,,,,,,,,,,,,,,,,,
2/1/2022,2000,,,,,,,,,,,,,,,,,
2/1/2022,2100,,,,,,,,,,,,,,,,,
2/1/2022,2200,,,,,,,,,,,,,,,,,
2/1/2022,2300,,,,,,,,,,,,,,,,,
3/1/2022,0,,,,,,,,,,,,,,,,,
3/1/2022,100,,,,,,,,,,,,,,,,,
3/1/2022,200,,,,,,,,,,,,,,,,,
3/1/2022,300,,,,,,,,,,,,,,,,,
3/1/2022,400,,,,,,,,,,,,,,,,,
3/1/2022,500,,,,,,,,,,,,,,,,,
3/1/2022,600,,,,,,,,,,,,,,,,,
3/1/2022,700,,,,,,,,,,,,,,,,,
3/1/2022,800,,,,,,,,,,,,,,,,,
3/1/2022,900,,,,,,,,,,,,,,,,,
3/1/2022,1000,,,,,,,,,,,,,,,,,
3/1/2022,1100,,,,,,,,,,,,,,,,,
3/1/2022,1200,,,,,,,,,,,,,,,,,
3/1/2022,1300,,,,,,,,,,,,,,,,,
3/1/2022,1400,,,,,,,,,,,,,,,,,
3/1/2022,1500,,,,,,,,,,,,,,,,,
3/1/2022,1600,,,,,,,,,,,,,,,,,
3/1/2022,1700,,,,,,,,,,,,,,,,,
3/1/2022,1800,,,,,,,,,,,,,,,,,
3/1/2022,1900,,,,,,,,,,,,,,,,,
3/1/2022,2000,,,,,,,,,,,,,,,,,
3/1/2022,2100,,,,,,,,,,,,,,,,,
3/1/2022,2200,,,,,,,,,,,,,,,,,
3/1/2022,2300,,,,,,,,,,,,,,,,,
4/1/2022,0,25,26.4,24.8,80,82,73,21.2,21.7,20.9,960.4,960.4,959.8,0.8,128,5.6,,0.2
4/1/2022,100,24.4,25,23.8,85,89,80,21.7,22.1,21.3,961.8,961.8,960.4,1.8,78,7.6,,0.2
4/1/2022,200,23.3,24.4,23.3,91,91,85,21.8,22,21.6,962.1,962.2,961.8,2.1,114,4.2,,0.4
4/1/2022,300,23,23.3,22.7,94,94,91,21.9,22,21.5,961.4,962.1,961.3,1.6,118,5.3,,4
